asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
asv01792	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae_UCG-011	uncultured_bacterium
asv01793	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_lehensis
asv01794	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Larkinella	unclassified
asv01795	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17	uncultured_Sphingobacteriia
asv01796	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_sputorum
asv01797	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	unidentified_marine
asv01798	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_5	Clostridium_cavendishii
asv01799	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_Acidimicrobiaceae
asv01800	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia_spinosispora
asv01801	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	bacterium_enrichment
asv01802	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	uncultured_Chloroflexi
asv01803	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_thalpophilum
asv01804	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactovum	Lactovum_miscens
asv01805	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Izhakiella	uncultured_bacterium
asv01806	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	unclassified
asv01807	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Mycoavidus	unclassified
asv01808	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	metagenome
asv01809	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_Bradyrhizobium
asv01810	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_Firmicutes
asv01811	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales_Incertae_Sedis	uncultured	uncultured_actinomycete
asv01812	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	unclassified
asv01813	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Paludibacterium	Neisseriaceae_bacterium
asv01814	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Thymallus_thymallus
asv01815	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	unclassified
asv01816	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Amantichitinum	uncultured_bacterium
asv01817	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	uncultured_Gemmata
asv01818	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Telmatocola	unclassified
asv01819	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	Gemmata_sp.
asv01820	Bacteria	Myxococcota	Polyangia	Polyangiales	Amb-16S-1034	Amb-16S-1034	uncultured_Polyangiaceae
asv01821	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	metagenome
